"LinkID","NSR"
"1226_418","Montane"
"1226_419","Montane"
"1226_420","Montane"
"1226_421","Montane"
"1226_422","Montane"
"1226_423","Montane"
"1226_424","Montane"
"1226_425","Montane"
"1226_426","Montane"
"1226_427","Montane"
"1226_428","Montane"
"1226_429","Montane"
"1226_430","Montane"
"1226_431","Montane"
"1226_432","Montane"
"1227_403","Montane"
"1227_407","Montane"
"1227_408","Montane"
"1227_410","Montane"
"1227_415","Montane"
"1227_416","Montane"
"1227_417","Montane"
"1227_418","Montane"
"1227_419","Montane"
"1227_420","Montane"
"1227_421","Montane"
"1227_422","Montane"
"1227_423","Montane"
"1227_424","Montane"
"1227_425","Montane"
"1227_426","Montane"
"1227_427","Montane"
"1227_428","Montane"
"1227_429","Montane"
"1227_430","Montane"
"1227_431","Montane"
"1227_432","Montane"
"1227_433","Montane"
"1228_408","Montane"
"1228_409","Montane"
"1228_410","Montane"
"1228_411","Montane"
"1228_412","Montane"
"1228_413","Montane"
"1228_414","Montane"
"1228_415","Montane"
"1228_416","Montane"
"1228_417","Montane"
"1228_419","Montane"
"1228_420","Montane"
"1228_421","Montane"
"1228_422","Montane"
"1228_423","Montane"
"1228_424","Montane"
"1228_425","Montane"
"1228_426","Montane"
"1228_427","Montane"
"1228_428","Montane"
"1228_429","Montane"
"1228_430","Montane"
"1228_431","Montane"
"1228_432","Montane"
"1228_433","Montane"
"1228_434","Montane"
"1229_409","Montane"
"1229_410","Montane"
"1229_411","Montane"
"1229_412","Montane"
"1229_413","Montane"
"1229_414","Montane"
"1229_416","Montane"
"1229_422","Montane"
"1229_423","Montane"
"1229_424","Montane"
"1229_425","Montane"
"1229_426","Montane"
"1229_427","Montane"
"1229_428","Montane"
"1229_429","Montane"
"1229_430","Montane"
"1229_431","Montane"
"1229_432","Montane"
"1229_433","Montane"
"1229_434","Montane"
"1229_435","Montane"
"1230_409","Montane"
"1230_410","Montane"
"1230_411","Montane"
"1230_424","Montane"
"1230_425","Montane"
"1230_426","Montane"
"1230_427","Montane"
"1230_428","Montane"
"1230_429","Montane"
"1230_430","Montane"
"1230_431","Montane"
"1230_432","Montane"
"1230_433","Montane"
"1230_434","Montane"
"1230_435","Montane"
"1231_409","Montane"
"1231_410","Montane"
"1231_411","Montane"
"1231_424","Montane"
"1231_425","Montane"
"1231_426","Montane"
"1231_427","Montane"
"1231_428","Montane"
"1231_429","Montane"
"1231_430","Montane"
"1231_431","Montane"
"1231_432","Montane"
"1231_433","Montane"
"1231_434","Montane"
"1231_435","Montane"
"1232_410","Montane"
"1232_411","Montane"
"1232_412","Montane"
"1232_413","Montane"
"1232_423","Montane"
"1232_424","Montane"
"1232_425","Montane"
"1232_426","Montane"
"1232_427","Montane"
"1232_428","Montane"
"1232_429","Montane"
"1232_430","Montane"
"1232_431","Montane"
"1232_432","Montane"
"1232_433","Montane"
"1232_434","Montane"
"1232_435","Montane"
"1232_436","Montane"
"1233_409","Montane"
"1233_410","Montane"
"1233_411","Montane"
"1233_423","Montane"
"1233_425","Montane"
"1233_426","Montane"
"1233_427","Montane"
"1233_428","Montane"
"1233_429","Montane"
"1233_430","Montane"
"1233_431","Montane"
"1233_432","Montane"
"1233_433","Montane"
"1233_434","Montane"
"1233_435","Montane"
"1233_436","Montane"
"1233_437","Montane"
"1233_438","Montane"
"1234_409","Montane"
"1234_410","Montane"
"1234_411","Montane"
"1234_421","Montane"
"1234_422","Montane"
"1234_425","Montane"
"1234_426","Montane"
"1234_427","Montane"
"1234_428","Montane"
"1234_429","Montane"
"1234_430","Montane"
"1234_431","Montane"
"1234_432","Montane"
"1234_433","Montane"
"1234_434","Montane"
"1234_435","Montane"
"1234_436","Montane"
"1234_437","Montane"
"1234_438","Montane"
